"Line Number/
мНЛЕП КХМХХ";"Maximum Design Press Mpa g/
лЮЙЯ.ПЮЯВЕРМНЕ ДЮБКЕМХЕ,лоЮ ХГА  ";"Operating Press
Mpa g/
пЮАНВЕЕ ДЮБКЕМХЕ, лоЮ ХГА";"Fluid Medium Group and Pipeline Category per GOST 32569-2013 Tab 5.1
цПСООЮ ЯПЕДШ Х ЙЮРЕЦНПХЪ РПСАНОПНБНДЮ ЯНЦКЮЯМН РЮАКХЖЕ 5.1 цняр 32569-2013 ";"Radiograhic Test/ Ultrasonic Test %/
пЮДХНЦПЮТХВЕЯЙХИ ЙНМРПНКЭ/сКЭРПЮГБСЙНБНИ ЙНМРПНКЭ, %";Liquid penetrant / лagnetic particle test  % / йЮОХККЪПМШИ / ЛЮЦМХРНОНПНЬЙНБШИ ЙНМРПНКЭ %;"Positive Material Identification/
йНМРПНКЭ УХЛХВЕЯЙНЦН ЯНЯРЮБЮ ЛЮРЕПХЮКЮ";"Hardness Test/
хЯОШРЮМХЕ МЮ РБЕПДНЯРЭ"
3-11-942010;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942011;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942012;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942013;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942014;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942015;14;13;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942016;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942017;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942018;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942019;5.2;4.0;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942020;1.6;0.5;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942021;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942022;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942023;5.2;4.0;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942024;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942025;1.6;0.5;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942026;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942027;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942028;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942029;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942030;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942031;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942032;1;0.5;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-942033;9.8;1.78;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942034;9.8;1.78;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942035;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942036;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942037;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942038;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942039;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942040;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942041;9.8;0.6/0.8;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942042;9.8;5.8/7.35;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942043;9.8;5.80/7.35;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942044;4;3.5;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-942045;1;0.5;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-942046;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942047;9.8;7.4;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942048;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942049;5.2;4.0;B-I/ V-I;1;1;NO/мер;"N/A
м/о"
3-11-942050;1.6;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-942051;1.6;0.5;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952001;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952002;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952003;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952004;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952005;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952006;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952007;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952008;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952009;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952011;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952012;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952013;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952014;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952015;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952016;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952017;1;0.4/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952018;1;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952019;1;ATM;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952020;1;0.6/0.8;B-III/ V-III;0.1;0;NO/мер;"N/A
м/о"
3-11-952021;1.0;0.79/0.88;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952022;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952023;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952024;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952025;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952026;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952027;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952028;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952029;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952030;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952031;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952032;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952033;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952034;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952035;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952036;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952037;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952038;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952039;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952040;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952041;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952042;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952043;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952044;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952045;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952046;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952047;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952048;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952049;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952050;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952051;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952052;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-952053;1;0.6/0.8;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
3-11-962001;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962002;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962003;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962004;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962005;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962006;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962007;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-962008;1.6;0.21/0.8;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931001;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931002;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931003;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931004;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931005;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931006;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931007;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931008;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931009;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931010;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931011;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931012;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931013;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931014;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931015;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
3-11-931016;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
4-20-851002;0.7;0.20;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-20-851003;0.7;0.20;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-20-851004;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
4-20-851005;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
4-20-851006;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
4-20-851007;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
4-20-891002;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
4-20-891003;1.6;0.3 / 0.4 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
4-20-891006;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
4-20-951001;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
4-20-951002;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
4-30-191000;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191001;1.6;0.04-0.2;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191002;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191003;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191004;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191005;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191006;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191007;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191008;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191009;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191010;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191011;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191012;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191013;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191014;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191015;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191016;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191017;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191018;1.6;0.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191019;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191020;1.6;0.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191021;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191022;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191023;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191024;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191025;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191026;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191027;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191028;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191029;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191030;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191034;1;0.01;а(Ю)-I / B(a)-I;0.2;1;YES/дю;"N/A
м/о"
4-30-191035;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191037;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191040;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191042;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191043;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191044;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191045;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191046;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191047;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191048;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191049;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191050;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191051;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191052;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191054;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191055;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191056;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191058;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191059;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191060;1;0.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191061;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191062;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191063;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191064;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191065;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191066;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191067;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191068;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191069;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191070;2;1.5;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191071;1.6;0.04-0.2;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191072;1;0.01;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191073;1;0.01;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191074;1;0.01;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191075;3.6;0.01;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191076;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191077;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191078;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191079;9.8;6.6;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191080;9.8;6.6;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191081;9.8;6.6;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191083;1.6;0.04-0.2;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191084;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191086;1.6;0.01;A(А)-I / A(b)-I;0.2;1;NO/мер;"N/A
м/о"
4-30-191087;1;0.01;A(А)-I / A(b)-I;1;1;NO/мер;"N/A
м/о"
4-30-191088;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191089;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191091;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-191202;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
4-30-311000;8.34;7.1;а(Ю)-I / B(a)-I;1;1;NO/мер;"N/A
м/о"
4-30-311001;8.34;7.2;а(Ю)-I / B(a)-I;1;1;NO/мер;"N/A
м/о"
4-30-311002;8.34;7.2;а(Ю)-I / B(a)-I;1;1;NO/мер;"N/A
м/о"
4-30-311003;9.8;7.2;а(Ю)-I / B(a)-I;0.2;1;NO/мер;YES/дю
4-30-311004;9.8;7.2;а(Ю)-I / B(a)-I;1;1;NO/мер;YES/дю
4-30-311005;8.34;7.2;а(Ю)-I / B(a)-I;1;1;NO/мер;YES/дю
4-30-311006;8.34;7.2;а(Ю)-I / B(a)-I;1;1;NO/мер;"N/A
м/о"
